temperature_K,carrier_type,carrier_density_cm-3,signed_density_cm-3,chemical_potential_Ry,seebeck_uV_K,sigma_over_tau_ohm-1_m-1_s-1,kappa_e_over_tau_W_m-1_K-1_s-1,power_factor_over_tau_W_m-1_K-2_s-1,electronic_zT_no_lattice,hall_m3_C,smoothed_DOS_Ha-1_uc-1,cv_J_mol-1_K-1,chi_m3_mol-1
500,n,1.9982484829714596e+20,-1.9982484829714596e+20,0.534848,-58.8357,7.8858e+18,92375300000000.0,27297797514.229248,0.1477548517527372,-3.67161e-08,11.686,1.2364,3.87211e-13
600,n,2.000383600950848e+20,-2.000383600950848e+20,0.533673,-73.8654,7.38339e+18,99087500000000.0,40284494370.54597,0.24393285351156888,-3.95261e-08,11.9385,1.6064,3.95579e-13
700,n,1.9999907569982993e+20,-1.9999907569982993e+20,0.53235,-89.0288,6.83887e+18,100702000000000.0,54205753725.600334,0.37679517395801704,-4.28809e-08,11.9179,1.95489,3.94894e-13
800,n,1.9993781867672066e+20,-1.9993781867672066e+20,0.530912,-104.033,6.28436e+18,98469000000000.0,68014780450.708046,0.5525782160940645,-4.67002e-08,11.7061,2.28058,3.87876e-13
900,n,2.0004745987025682e+20,-2.0004745987025682e+20,0.529381,-118.608,5.74532e+18,93703600000000.0,80824343994.13248,0.776297918059917,-5.08978e-08,11.3739,2.58545,3.76868e-13
300,n,9.99634716678307e+19,-9.99634716678307e+19,0.530817,-47.0894,5.63246e+18,38580100000000.0,12489482097.504004,0.09711858261775375,-6.37351e-08,5.83127,0.19386,1.93217e-13
400,n,9.998300289259019e+19,-9.998300289259019e+19,0.530316,-63.553799999999995,5.42491e+18,48480800000000.0,21911675289.642498,0.18078641680535384,-6.54578e-08,5.93419,0.355684,1.96627e-13
500,n,1.0002805787697853e+20,-1.0002805787697853e+20,0.529552,-81.1036,5.13666e+18,56178500000000.0,33787890983.678314,0.3007190560773099,-6.83706e-08,6.1089,0.59213,2.02416e-13
600,n,1.0002206534210914e+20,-1.0002206534210914e+20,0.528508,-99.62419999999999,4.77248e+18,60781900000000.0,47366774399.74238,0.4675744693707407,-7.27454e-08,6.25156,0.868613,2.07143e-13
700,n,9.996546917945383e+19,-9.996546917945383e+19,0.527215,-118.583,4.36208e+18,62082500000000.0,61339254406.049126,0.6916196687348993,-7.85602e-08,6.2925,1.15493,2.085e-13
800,n,9.998056148949524e+19,-9.998056148949524e+19,0.525719,-137.388,3.94114e+18,60674000000000.0,74390840450.66017,0.9808595503927241,-8.56128e-08,6.22405,1.43555,2.06231e-13
900,n,9.996813252828466e+19,-9.996813252828466e+19,0.524046,-155.62400000000002,3.53231e+18,57441100000000.0,85548413193.13858,1.3403916685757187,-9.38075e-08,6.06155,1.70515,2.00847e-13
300,n,4.9974633570366456e+19,-4.9974633570366456e+19,0.526047,-69.9417,3.33495e+18,21997400000000.0,16314046473.2282,0.22249056442890797,-1.2652e-07,3.75304,0.110695,1.24355e-13
400,n,4.998240167112307e+19,-4.998240167112307e+19,0.525554,-92.3211,3.2081e+18,26966400000000.0,27343231419.264206,0.40558964369384426,-1.28593e-07,3.69325,0.18147,1.22374e-13
500,n,4.997574329904597e+19,-4.997574329904597e+19,0.524829,-113.952,3.03487e+18,30971400000000.0,39407963895.06048,0.6361992660173656,-1.32579e-07,3.64454,0.303803,1.2076e-13
600,n,4.9983511399802585e+19,-4.9983511399802585e+19,0.523822,-135.636,2.81354e+18,33680400000000.0,51761045654.47583,0.9220979380495926,-1.39282e-07,3.59943,0.476153,1.19266e-13
700,n,4.995510234560698e+19,-4.995510234560698e+19,0.522511,-157.527,2.55453e+18,34685900000000.0,63390037952.40237,1.2792813958029532,-1.49253e-07,3.5291,0.678597,1.16935e-13
800,n,5.0015471585772634e+19,-5.0015471585772634e+19,0.520931,-179.082,2.28548e+18,34148500000000.0,73296172598.44753,1.717116068897844,-1.62069e-07,3.4264,0.893405,1.13532e-13
900,n,4.99990476013158e+19,-4.99990476013158e+19,0.519099,-199.85399999999998,2.02216e+18,32599800000000.0,80768348960.36255,2.229814724762922,-1.77719e-07,3.29019,1.1133,1.09019e-13
300,n,1.9988921256055788e+19,-1.9988921256055788e+19,0.521496,-116.017,1.52352e+18,9305160000000.0,20506494323.17728,0.6611329946989826,-3.13216e-07,2.21485,0.0639099,7.33881e-14
400,n,1.9985703042885194e+19,-1.9985703042885194e+19,0.520811,-145.411,1.45296e+18,11311600000000.0,30721907737.85616,1.0863859308269797,-3.17797e-07,2.06025,0.0990276,6.82655e-14
500,n,1.9994358926585414e+19,-1.9994358926585414e+19,0.519885,-171.679,1.36847e+18,12997600000000.0,40333845557.23727,1.5515881992536031,-3.25494e-07,1.91228,0.159505,6.33628e-14
600,n,1.99900309847353e+19,-1.99900309847353e+19,0.518668,-196.56900000000002,1.26448e+18,14229100000000.0,48858712804.34929,2.0602306317764,-3.39248e-07,1.77906,0.251058,5.89483e-14
700,n,2.000756469787165e+19,-2.000756469787165e+19,0.517135,-220.833,1.14481e+18,14844300000000.0,55829194132.26609,2.632689712050165,-3.60439e-07,1.66019,0.368383,5.50097e-14
800,n,1.999981879168863e+19,-1.999981879168863e+19,0.515275,-244.47400000000002,1.0169e+18,14893900000000.0,60777608045.824394,3.264563776892521,-3.89989e-07,1.55063,0.504262,5.13793e-14
900,n,1.9988610532025524e+19,-1.9988610532025524e+19,0.513152,-265.834,8.97881e+17,15149800000000.0,63451199111.13684,3.7694279264428014,-4.23834e-07,1.46665,0.669922,4.85969e-14
300,n,9.98999951873624e+18,-9.98999951873624e+18,0.519024,-160.57500000000002,8.01727e+17,4685370000000.0,20671994038.989376,1.3236090664551172,-6.26261e-07,1.4367,0.0466615,4.76045e-14
400,n,1.0000741692353954e+19,-1.0000741692353954e+19,0.518089,-194.1,7.61978e+17,5716990000000.0,28707376374.180004,2.008565792431332,-6.33564e-07,1.26666,0.0726036,4.19704e-14
500,n,1.0004559159011488e+19,-1.0004559159011488e+19,0.516883,-222.833,7.15717e+17,6583210000000.0,35538602620.037415,2.699184943214436,-6.47296e-07,1.12185,0.112491,3.7172e-14
600,n,1.0006401308619483e+19,-1.0006401308619483e+19,0.515378,-249.20999999999998,6.60582e+17,7240450000000.0,41025857379.2262,3.399721623315639,-6.72182e-07,1.00334,0.17048,3.32451e-14
700,n,9.998899542745956e+18,-9.998899542745956e+18,0.513541,-274.54200000000003,5.96625e+17,7629800000000.0,44969600937.9465,4.125759607927147,-7.12645e-07,0.906254,0.246101,3.00284e-14
800,n,1.0002228728784505e+19,-1.0002228728784505e+19,0.511397,-297.936,5.32003e+17,8052670000000.0,47223703868.65229,4.69148283673885,-7.64249e-07,0.835034,0.344837,2.76685e-14
900,n,9.998078343523115e+18,-9.998078343523115e+18,0.5091,-314.83599999999996,4.81729e+17,9752680000000.0,47749800741.30318,4.406462702269823,-8.03813e-07,0.817502,0.500251,2.70876e-14
300,p,1.0010085607835476e+19,1.0010085607835476e+19,0.466341,528.1930000000001,9.1432e+16,334022000000.0,25508416666.806572,22.91024243924643,5.98996e-07,2.36118,0.657983,7.82367e-14
400,p,1.0009308797759814e+19,1.0009308797759814e+19,0.470155,558.04,7.53801e+16,296755000000.0,23474014544.672157,31.640935512017872,6.10412e-07,1.77446,0.743079,5.87959e-14
500,p,9.99277384043503e+18,9.99277384043503e+18,0.474179,578.505,6.39312e+16,277866000000.0,21395729080.79028,38.50008471851591,6.2182e-07,1.41849,0.8045,4.70011e-14
600,p,1.0007067145827193e+19,1.0007067145827193e+19,0.478342,592.15,5.5587e+16,348085000000.0,19491115869.907497,33.59716598516023,6.20262e-07,1.18449,0.856165,3.92477e-14
700,p,9.999476601659304e+18,9.999476601659304e+18,0.482628,578.982,4.96211e+16,1255520000000.0,16633992898.968838,9.27408167872928,4.40977e-07,1.01684,0.901021,3.36927e-14
800,p,1.000620155745717e+19,1.000620155745717e+19,0.486971,444.498,4.89412e+16,6163270000000.0,9669727514.042164,1.2551424830055686,-6.44146e-07,0.904362,0.953674,2.99657e-14
900,p,1.0001340945840892e+19,1.0001340945840892e+19,0.49122,150.17399999999998,6.41975e+16,17837100000000.0,1447796803.1435099,0.073050951266134,-2.12089e-06,0.865426,1.05023,2.86755e-14
300,p,2.0009540014921187e+19,2.0009540014921187e+19,0.465015,468.713,1.82355e+17,666306000000.0,40061912115.26899,18.037618803643817,2.99481e-07,4.6954,1.02969,1.5558e-13
400,p,2.0000750963779424e+19,2.0000750963779424e+19,0.468393,498.477,1.50372e+17,592308000000.0,37364332236.21479,25.233042428071066,3.05268e-07,3.5346,1.17901,1.17117e-13
500,p,1.9983727725835657e+19,1.9983727725835657e+19,0.471977,518.868,1.27674e+17,551752000000.0,34372905157.80778,31.148872281213098,3.10849e-07,2.83025,1.2891,9.37793e-14
600,p,2.001293578468051e+19,2.001293578468051e+19,0.475702,534.062,1.10958e+17,574466000000.0,31647687069.450546,33.05437091432796,3.14947e-07,2.36432,1.38112,7.83408e-14
700,p,2.0010671938174296e+19,2.0010671938174296e+19,0.479549,540.573,9.81227e+16,1033860000000.0,28673333788.195972,19.41397641047838,2.96801e-07,2.02858,1.45936,6.72161e-14
800,p,2.001659788932291e+19,2.001659788932291e+19,0.483484,507.85999999999996,8.99554e+16,3856480000000.0,23201456852.629833,4.812981133599518,1.19611e-07,1.78325,1.5341,5.90872e-14
900,p,2.0009251485464515e+19,2.0009251485464515e+19,0.487458,367.89,9.16277e+16,13465900000000.0,12401172574.90317,0.8288384227874003,-4.80558e-07,1.61722,1.62583,5.35858e-14
300,p,5.006052657016097e+19,5.006052657016097e+19,0.463242,390.29400000000004,4.5316e+17,1656460000000.0,69029593820.53777,12.501888452580399,1.1949e-07,11.5698,1.76675,3.83361e-13
400,p,5.002989805860633e+19,5.002989805860633e+19,0.466047,419.73,3.74245e+17,1475750000000.0,65931966516.460495,17.870768495059597,1.21785e-07,8.75912,2.07126,2.9023e-13
500,p,4.996242655489178e+19,4.996242655489178e+19,0.469054,440.035,3.17902e+17,1373980000000.0,61555618971.02996,22.400478526263104,1.24105e-07,7.02817,2.30083,2.32876e-13
600,p,5.007473109725877e+19,5.007473109725877e+19,0.472196,455.539,2.76603e+17,1350940000000.0,57399487439.45016,25.493132532658812,1.26224e-07,5.88379,2.49575,1.94957e-13
700,p,5.004121729113739e+19,5.004121729113739e+19,0.475466,467.77500000000003,2.43867e+17,1529580000000.0,53361379763.56688,24.420406800884432,1.27492e-07,5.04793,2.65931,1.67261e-13
800,p,4.997130438432791e+19,4.997130438432791e+19,0.478839,471.903,2.18427e+17,2719580000000.0,48642041899.64365,14.308692342095071,1.176e-07,4.41827,2.80224,1.46398e-13
900,p,4.997241411300742e+19,4.997241411300742e+19,0.482281,449.58299999999997,2.01461e+17,7528810000000.0,40720279218.55183,4.86773491384384,5.862e-08,3.94351,2.94043,1.30667e-13
300,p,1.0016277893867173e+20,1.0016277893867173e+20,0.461876,331.507,8.96677e+17,3279360000000.0,98542014575.14417,9.014748113212105,5.95352e-08,22.5976,2.52017,7.48763e-13
400,p,9.99272945128785e+19,9.99272945128785e+19,0.464254,360.536,7.41299e+17,2928060000000.0,96358645482.3175,13.163479639395026,6.07599e-08,17.2314,3.01859,5.70954e-13
500,p,1.0009286603186225e+20,1.0009286603186225e+20,0.466817,380.356,6.32553e+17,2741270000000.0,91511876906.917,16.691511034468878,6.17495e-08,13.9229,3.41351,4.61329e-13
600,p,9.995592551281e+19,9.995592551281e+19,0.469535,396.135,5.48922e+17,2667110000000.0,86138453096.34344,19.37793036575397,6.31034e-08,11.6408,3.74066,3.85712e-13
700,p,9.992574089272718e+19,9.992574089272718e+19,0.472367,409.114,4.84257e+17,2750270000000.0,81052159444.16795,20.62943333233376,6.43543e-08,10.0049,4.02459,3.31508e-13
800,p,1.0001784837312699e+20,1.0001784837312699e+20,0.475291,418.679,4.33566e+17,3372690000000.0,76000696814.20619,18.027318683710913,6.4145e-08,8.78206,4.27586,2.9099e-13
900,p,9.999765131115979e+19,9.999765131115979e+19,0.478303,420.363,3.93674e+17,5894650000000.0,69564184550.1093,10.621116791514062,5.72824e-08,7.82339,4.4989,2.59225e-13
300,p,1.9974516977795675e+20,1.9974516977795675e+20,0.460469,273.883,1.74992e+18,6405750000000.0,131264820003.93486,6.147515279425588,2.96581e-08,43.1213,3.37971,1.42881e-12
400,p,2.001298017382769e+20,2.001298017382769e+20,0.462415,301.495,1.46039e+18,5787840000000.0,132748333838.15974,9.174291883546175,3.01188e-08,33.5144,4.15807,1.11049e-12
500,p,2.0009761960657093e+20,2.0009761960657093e+20,0.464551,321.035,1.24766e+18,5438040000000.0,128588170508.5835,11.823025438263004,3.06874e-08,27.2308,4.79609,9.02282e-13
600,p,2.0006454969192137e+20,2.0006454969192137e+20,0.466829,336.538,1.08601e+18,5303910000000.0,122999131010.43845,13.914164947418614,3.13615e-08,22.8925,5.34601,7.58534e-13
700,p,1.9996223270767e+20,1.9996223270767e+20,0.469225,349.65700000000004,9.59015e+17,5341340000000.0,117249190825.65573,15.365888256122812,3.21009e-08,19.7273,5.82543,6.53657e-13
800,p,1.9995202320381847e+20,1.9995202320381847e+20,0.471716,360.69,8.57956e+17,5701850000000.0,111617738613.6516,15.66056470986106,3.26715e-08,17.3329,6.24696,5.74317e-13
900,p,2.0003014810285638e+20,2.0003014810285638e+20,0.474288,368.69399999999996,7.76957e+17,7042070000000.0,105615856182.74963,13.498058179551563,3.23501e-08,15.4639,6.62102,5.1239e-13
300,p,5.003921977951426e+20,5.003921977951426e+20,0.458454,199.674,4.1228e+18,15126100000000.0,164374825034.6928,3.260090010670817,1.15659e-08,96.6464,4.42433,3.20234e-12
400,p,5.0077172500353706e+20,5.0077172500353706e+20,0.459859,224.60199999999998,3.48465e+18,13960300000000.0,175786857417.49857,5.036764465448409,1.1759e-08,77.3969,5.60648,2.56452e-12
500,p,4.993779057820653e+20,4.993779057820653e+20,0.461441,243.213,2.99357e+18,13284900000000.0,177077339124.53732,6.66460941085508,1.2051e-08,63.8572,6.69276,2.11588e-12
600,p,4.996398017504311e+20,4.996398017504311e+20,0.463145,258.16700000000003,2.6208e+18,13082200000000.0,174676843869.0912,8.011351784979187,1.2354e-08,54.3259,7.68952,1.80007e-12
700,p,4.9964424066514905e+20,4.9964424066514905e+20,0.464964,271.077,2.32393e+18,13162900000000.0,170768743803.20096,9.08144258956922,1.26913e-08,47.2066,8.58571,1.56417e-12
800,p,5.00063718106006e+20,5.00063718106006e+20,0.466875,282.33000000000004,2.08624e+18,13502500000000.0,166294667940.336,9.852674271599245,1.30113e-08,41.7502,9.3865,1.38337e-12
900,p,4.9994386740861836e+20,4.9994386740861836e+20,0.468873,292.149,1.89037e+18,14257700000000.0,161345042084.02438,10.184709867343397,1.32756e-08,37.3837,10.0935,1.23869e-12
300,p,1.0009353186906994e+21,1.0009353186906994e+21,0.456723,146.231,7.52828e+18,27752900000000.0,160981015739.1091,1.740153451413464,5.50695e-09,167.023,4.82025,5.53425e-12
400,p,9.992440921831176e+20,9.992440921831176e+20,0.457735,167.832,6.45893e+18,26424700000000.0,181932428936.20032,2.7539753175809043,5.64489e-09,137.416,6.20207,4.55324e-12
500,p,1.0003116511728117e+21,1.0003116511728117e+21,0.458884,184.64999999999998,5.6277e+18,25807500000000.0,191879934743.24997,3.717522711290322,5.80801e-09,116.167,7.64102,3.84915e-12
600,p,1.0006778616370518e+21,1.0006778616370518e+21,0.46016,198.989,4.96233e+18,25763700000000.0,196491505849.70193,4.576008240657249,6.00149e-09,100.334,9.04129,3.32454e-12
700,p,9.994926714073291e+20,9.994926714073291e+20,0.461553,211.73399999999998,4.41984e+18,26082500000000.0,198147114455.63904,5.3178560382995235,6.21414e-09,88.0975,10.3425,2.91907e-12
800,p,1.000045316289728e+21,1.000045316289728e+21,0.463031,222.938,3.98412e+18,26705300000000.0,198016149908.7173,5.93189067065241,6.41011e-09,78.5754,11.5269,2.60356e-12
900,p,1.0004670131879438e+21,1.0004670131879438e+21,0.464591,232.888,3.62527e+18,27567100000000.0,196623118413.54688,6.419275388858175,6.58615e-09,70.8823,12.5904,2.34866e-12
